Departement,CodeINSEE,Nom commune,prix
31,31001,AGASSAC                                           ,1.342
31,31003,AIGREFEUILLE                                      ,1.325
31,31004,AYGUESVIVES                                       ,1.532
31,31005,ALAN                                              ,1.342
31,31006,ALBIAC                                            ,1.325
31,31007,AMBAX                                             ,1.342
31,31008,ANAN                                              ,1.342
31,31009,ANTICHAN-DE-FRONTIGNES                            ,0.625
31,31012,ARBON                                             ,1.112
31,31013,ARDIEGE                                           ,1.07
31,31014,ARGUENOS                                          ,1.112
31,31018,ARNAUD-GUILHEM                                    ,1.342
31,31019,ARTIGUE                                           ,0.098
31,31020,ASPET                                             ,1.112
31,31020,ASPET                                             ,1.417
31,31021,ASPRET-SARRAT                                     ,1.112
31,31022,AUCAMVILLE                                        ,1.115
31,31023,AULON                                             ,1.342
31,31025,AUREVILLE                                         ,1.532
31,31026,AURIAC-SUR-VENDINELLE                             ,1.325
31,31028,AURIGNAC                                          ,1.342
31,31029,AURIN                                             ,1.325
31,31031,AUSSON                                            ,1.342
31,31032,AUSSONNE                                          ,1.397
31,31034,AUZAS                                             ,1.342
31,31035,AUZEVILLE-TOLOSANE                                ,1.532
31,31036,AUZIELLE                                          ,1.532
31,31037,AVIGNONET-LAURAGAIS                               ,1.325
31,31038,AZAS                                              ,1.726
31,31039,BACHAS                                            ,1.342
31,31041,BAGIRY                                            ,1.342
31,31043,BALESTA                                           ,1.342
31,31044,BALMA                                             ,1.451
31,31045,BARBAZAN                                          ,1.342
31,31046,BAREN                                             ,1.241
31,31047,BAX                                               ,1.3
31,31048,BAZIEGE                                           ,1.532
31,31049,BAZUS                                             ,1.726
31,31050,BEAUCHALOT                                        ,1.342
31,31051,BEAUFORT                                          ,1.424
31,31053,BEAUPUY                                           ,1.325
31,31055,BEAUVILLE                                         ,1.325
31,31056,BEAUZELLE                                         ,1.232
31,31057,BELBERAUD                                         ,1.532
31,31058,BELBEZE-DE-LAURAGAIS                              ,1.532
31,31059,BELBEZE-EN-COMMINGES                              ,1.197
31,31060,BELESTA-EN-LAURAGAIS                              ,1.325
31,31062,BELLESSERRE                                       ,1.413
31,31063,BENQUE                                            ,1.342
31,31065,BERAT                                             ,1.424
31,31066,BESSIERES                                         ,1.726
31,31069,BLAGNAC                                           ,1.355
31,31070,BLAJAN                                            ,1.342
31,31071,BOIS-DE-LA-PIERRE                                 ,1.424
31,31072,BOISSEDE                                          ,1.342
31,31073,BONDIGOUX                                         ,2.136
31,31074,BONREPOS-RIQUET                                   ,1.325
31,31075,BONREPOS-SUR-AUSSONNELLE                          ,1.424
31,31076,BORDES-DE-RIVIERE                                 ,1.342
31,31077,LE BORN                                           ,1.472
31,31078,BOUDRAC                                           ,1.342
31,31079,BOULOC                                            ,1.6
31,31080,BOULOGNE-SUR-GESSE                                ,1.342
31,31082,BOURG-SAINT-BERNARD                               ,1.325
31,31083,BOUSSAN                                           ,1.342
31,31084,BOUSSENS                                          ,1.342
31,31085,BOUTX                                             ,1.602
31,31085,BOUTX                                             ,1.792
31,31086,BOUZIN                                            ,1.342
31,31087,BRAGAYRAC                                         ,1.424
31,31088,BRAX                                              ,1.402
31,31089,BRETX                                             ,1.413
31,31090,BRIGNEMONT                                        ,1.413
31,31091,BRUGUIERES                                        ,1.6
31,31092,BURGALAYS                                         ,1.02
31,31093,LE BURGAUD                                        ,1.413
31,31094,BUZET-SUR-TARN                                    ,1.726
31,31095,CABANAC-CAZAUX                                    ,1.112
31,31096,CABANAC-SEGUENVILLE                               ,1.413
31,31097,LE CABANIAL                                       ,1.325
31,31098,CADOURS                                           ,1.413
31,31101,CAMBERNARD                                        ,1.424
31,31102,CAMBIAC                                           ,1.325
31,31103,CANENS                                            ,1.3
31,31104,CAPENS                                            ,1.424
31,31104,CAPENS                                            ,1.3
31,31105,CARAGOUDES                                        ,1.325
31,31106,CARAMAN                                           ,1.325
31,31107,CARBONNE                                          ,1.412
31,31108,CARDEILHAC                                        ,1.342
31,31109,CASSAGNABERE-TOURNAS                              ,1.342
31,31110,CASSAGNE                                          ,1.197
31,31111,CASTAGNAC                                         ,1.3
31,31112,CASTAGNEDE                                        ,1.197
31,31113,CASTANET-TOLOSAN                                  ,1.532
31,31114,CASTELBIAGUE                                      ,1.197
31,31115,CASTELGAILLARD                                    ,1.342
31,31116,CASTELGINEST                                      ,1.115
31,31117,CASTELMAUROU                                      ,1.115
31,31118,CASTELNAU-D'ESTRETEFONDS                          ,1.6
31,31119,CASTELNAU-PICAMPEAU                               ,1.424
31,31120,LE CASTERA                                        ,1.413
31,31121,CASTERA-VIGNOLES                                  ,1.342
31,31122,CASTIES-LABRANDE                                  ,1.424
31,31124,CASTILLON-DE-SAINT-MARTORY                        ,1.342
31,31126,CAUBIAC                                           ,1.413
31,31130,CAZARIL-TAMBOURES                                 ,1.342
31,31131,CAZAUNOUS                                         ,1.112
31,31134,CAZENEUVE-MONTAUT                                 ,1.342
31,31135,CAZERES                                           ,
31,31136,CEPET                                             ,1.6
31,31137,CESSALES                                          ,1.325
31,31138,CHARLAS                                           ,1.342
31,31139,CHAUM                                             ,1.224
31,31141,CIADOUX                                           ,1.342
31,31147,CLARAC                                            ,1.342
31,31148,CLERMONT-LE-FORT                                  ,1.532
31,31149,COLOMIERS                                         ,0.983
31,31150,CORNEBARRIEU                                      ,0.983
31,31151,CORRONSAC                                         ,1.532
31,31152,COUEILLES                                         ,1.342
31,31153,COULADERE                                         ,1.3
31,31155,COURET                                            ,1.197
31,31156,COX                                               ,1.413
31,31157,CUGNAUX                                           ,1.09
31,31158,CUGURON                                           ,1.342
31,31159,LE CUING                                          ,1.342
31,31160,DAUX                                              ,1.413
31,31161,DEYME                                             ,1.532
31,31162,DONNEVILLE                                        ,1.532
31,31163,DREMIL-LAFAGE                                     ,1.325
31,31164,DRUDAS                                            ,1.413
31,31165,EAUNES                                            ,1.366
31,31166,EMPEAUX                                           ,1.424
31,31167,ENCAUSSE-LES-THERMES                              ,1.112
31,31168,EOUX                                              ,1.342
31,31169,ESCALQUENS                                        ,1.532
31,31170,ESCANECRABE                                       ,1.342
31,31171,ESPANES                                           ,1.532
31,31172,ESPARRON                                          ,1.342
31,31175,ESTANCARBON                                       ,1.342
31,31177,EUP                                               ,1.224
31,31178,FABAS                                             ,1.342
31,31179,LE FAGET                                          ,1.325
31,31180,FALGA                                             ,1.325
31,31181,LE FAUGA                                          ,1.424
31,31182,FENOUILLET                                        ,1.115
31,31183,FIGAROL                                           ,1.197
31,31185,FOLCARDE                                          ,1.325
31,31186,FONBEAUZARD                                       ,1.115
31,31187,FONSORBES                                         ,1.424
31,31188,FONTENILLES                                       ,1.424
31,31189,FORGUES                                           ,1.424
31,31191,FOUGARON                                          ,1.197
31,31192,FOURQUEVAUX                                       ,1.532
31,31193,LE FOUSSERET                                      ,1.424
31,31194,FRANCARVILLE                                      ,1.325
31,31196,FRANCON                                           ,1.342
31,31197,FRANQUEVIELLE                                     ,1.342
31,31198,LE FRECHET                                        ,1.342
31,31199,FRONSAC                                           ,1.224
31,31200,FRONTIGNAN-DE-COMMINGES                           ,0.9
31,31201,FRONTIGNAN-SAVES                                  ,1.342
31,31202,FRONTON                                           ,
31,31204,FUSTIGNAC                                         ,1.424
31,31205,GAGNAC-SUR-GARONNE                                ,1.115
31,31206,GAILLAC-TOULZA                                    ,1.3
31,31207,GALIE                                             ,1.342
31,31208,GANTIES                                           ,1.197
31,31209,GARAC                                             ,1.413
