Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31001,Agassac,O,123,
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31002,Aignes,O,242,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31003,Aigrefeuille,O,926,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31004,Ayguesvives,O,2304,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31005,Alan,O,311,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31006,Albiac,O,198,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31007,Ambax,O,69,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31008,Anan,O,226,1
31009000A,COMMUNE D'ANTICHAN DE FRONTIGNES ,2A01,Communes du bassin,31009,Antichan de Frontignes,O,86,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31010,Antignac,O,111,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31011,Arbas,O,258,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31012,Arbon,O,77,1
31247001A,S.A.E.P. DE LA PLAINE DE RIVIERE ,3D04,"Syndicat d'assainisement, eau potable",31013,Ardiège,O,418,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31014,Arguenos,O,51,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31015,Argut Dessous,O,31,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31017,Arlos,O,95,2
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31018,Arnaud Guilhem,O,201,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31019,Artigue,O,38,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31020,Aspet,O,1044,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31020,Aspet,O,1044,0
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31021,Aspret Sarrat,O,145,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31022,Aucamville,O,7900,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31023,Aulon,O,353,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31024,Auragne,O,409,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31025,Aureville,O,720,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31026,Auriac sur Vendinelle,O,1027,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31027,Auribail,O,228,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31027,Auribail,O,228,0
