city_code,city_name,population,lat,lng,public_gestion,price
31001, Agassac ,123,43.366667,0.883333,0,1.342
31002, Aignes ,242,43.316667,1.6,1,0
31003, Aigrefeuille ,926,43.566667,1.6,1,1.325
31004, Ayguesvives ,2304,43.433333,1.6,1,1.532
31005, Alan ,311,43.216667,0.95,0,1.342
31007, Ambax ,69,43.366667,0.933333,0,1.342
31008, Anan ,226,43.35,0.833333,0,1.342
31009, Antichan-de-Frontignes ,86,42.966667,0.666667,1,0.625
31010, Antignac ,111,42.833333,0.6,1,0
31011, Arbas ,258,43,0.9,1,0
31012, Arbon ,77,43,0.75,1,1.112
31013, Ardiège ,418,43.066667,0.65,1,1.07
31014, Arguenos ,51,42.966667,0.716667,1,1.112
31015, Argut-Dessous ,31,42.883333,0.716667,1,0
31017, Arlos ,95,42.9,0.7,1,0
31018, Arnaud-Guilhem ,201,43.133333,0.9,0,1.342
31019, Artigue ,38,42.833333,0.616667,1,0.098
31020, Aspet ,1044,43.016667,0.8,1,1.112
31021, Aspret-Sarrat ,145,43.066667,0.716667,1,1.112
31023, Aulon ,353,43.183333,0.833333,0,1.342
31024, Auragne ,409,43.383333,1.5,1,0
31025, Aureville ,720,43.483333,1.45,1,1.532
31026, Auriac-sur-Vendinelle ,1027,43.516667,1.816667,1,1.325
31027, Auribail ,228,43.35,1.383333,1,0
31028, Aurignac ,1244,43.216667,0.883333,0,1.342
31029, Aurin ,290,43.533333,1.666667,1,1.325
31030, Ausseing ,74,43.15,1.016667,1,0
31031, Ausson ,562,43.083333,0.6,0,1.342
31032, Aussonne ,6009,43.683333,1.316667,1,1.397
31033, Auterive ,8858,43.35,1.483333,1,0
31034, Auzas ,183,43.166667,0.883333,0,1.342
31035, Auzeville-Tolosane ,3124,43.533333,1.483333,1,1.532
31036, Auzielle ,1378,43.55,1.566667,1,1.532
31038, Azas ,514,43.716667,1.666667,0,1.726
31039, Bachas ,67,43.25,0.933333,0,1.342
31040, Bachos ,27,42.883333,0.616667,1,0
31041, Bagiry ,84,42.983333,0.633333,0,1.342
31042, Bagnères-de-Luchon ,2743,42.783333,0.6,0,0
31043, Balesta ,179,43.2,0.566667,0,1.342
31044, Balma ,13203,43.616667,1.5,1,1.451
31045, Barbazan ,464,43.033333,0.633333,0,1.342
31046, Baren ,5,42.866667,0.616667,1,1.241
31047, Bax ,89,43.233333,1.266667,1,1.3
31048, Baziège ,3252,43.45,1.616667,1,1.532
31049, Bazus ,593,43.733333,1.516667,0,1.726
31050, Beauchalot ,528,43.1,0.866667,0,1.342
31051, Beaufort ,371,43.466667,1.116667,1,1.424
31052, Beaumont-sur-Lèze ,1522,43.383333,1.366667,1,0
31053, Beaupuy ,1315,43.65,1,1,1.325
31054, Beauteville ,164,43.35,1.733333,1,0
31055, Beauville ,135,43.466667,1.766667,1,1.325
31056, Beauzelle ,5175,43.666667,1.366667,1,1.232
31057, Belberaud ,1318,43.5,1.583333,1,1.532
31058, Belbèze-de-Lauragais ,98,43.433333,1.55,1,1.532
31059, Belbèze-en-Comminges ,109,43.133333,1.016667,1,1.197
31060, Bélesta-en-Lauragais ,114,43.433333,1.816667,1,1.325
31062, Bellesserre ,84,43.783333,1.116667,1,1.413
31063, Benque ,158,43.266667,0.916667,0,1.342
31065, Bérat ,2662,43.383333,1.183333,1,1.424
31066, Bessières ,3158,43.8,1.616667,1,1.726
31067, Bézins-Garraux ,55,42.933333,0.7,1,0
31068, Billière ,25,42.816667,0.533333,1,0
31069, Blagnac ,21961,43.633333,1.4,0,1.355
31070, Blajan ,516,43.266667,0.65,0,1.342
31071, Bois-de-la-Pierre ,421,43.35,1.15,1,1.424
31072, Boissède ,84,43.4,0.816667,0,1.342
31073, Bondigoux ,444,43.833333,1.55,1,2.136
31074, Bonrepos-Riquet ,243,43.683333,1.616667,1,1.325
31075, Bonrepos-sur-Aussonnelle ,827,43.55,1.15,1,1.424
31076, Bordes-de-Rivière ,472,43.1,0.633333,0,1.342
31077, Le Born ,394,43.883333,1.55,1,1.472
31078, Boudrac ,122,43.2,0.55,0,1.342
31079,Bouloc,4026,43.783333,1.416667,1,1.6
