NomVille,MAJ,CodePostal,CodeINSEE,CodeRegion,Latitude,Longitude,Eloignement
 Agassac ,AGASSAC   ,31230,31001,72,43.366667,0.883333,0.73
 Aignes ,AIGNES   ,31550,31002,72,43.316667,1.6,1.42
 Aigrefeuille ,AIGREFEUILLE   ,31280,31003,72,43.566667,1.6,1.36
 Ayguesvives ,AYGUESVIVES   ,31450,31004,72,43.433333,1.6,1.36
 Alan ,ALAN   ,31420,31005,72,43.216667,0.95,1.09
 Ambax ,AMBAX   ,31230,31007,72,43.366667,0.933333,1.27
 Anan ,ANAN   ,31230,31008,72,43.35,0.833333,0.88
 Antichan-de-Frontignes ,ANTICHAN DE FRONTIGNES ,31510,31009,72,42.966667,0.666667,1.62
 Antignac ,ANTIGNAC   ,31110,31010,72,42.833333,0.6,2.22
 Arbas ,ARBAS   ,31160,31011,72,43,0.9,1.47
 Arbon ,ARBON   ,31160,31012,72,43,0.75,1.47
 Ardiège ,ARDIEGE   ,31210,31013,72,43.066667,0.65,1.54
 Arguenos ,ARGUENOS   ,31160,31014,72,42.966667,0.716667,1.62
 Argut-Dessous ,ARGUT DESSOUS  ,31440,31015,72,42.883333,0.716667,2
 Argut-Dessus ,ARGUT DESSUS  ,31440,31016,72,42.9,0.733333,1.92
 Arlos ,ARLOS   ,31440,31017,72,42.9,0.7,1.92
 Arnaud-Guilhem ,ARNAUD GUILHEM  ,31360,31018,72,43.133333,0.9,0.87
 Artigue ,ARTIGUE   ,31110,31019,72,42.833333,0.616667,2.22
 Aspet ,ASPET   ,31160,31020,72,43.016667,0.8,1.4
 Aspret-Sarrat ,ASPRET SARRAT  ,31800,31021,72,43.066667,0.716667,1.22
 Aulon ,AULON   ,31420,31023,72,43.183333,0.833333,1.45
 Auragne ,AURAGNE   ,31190,31024,72,43.383333,1.5,1.16
 Aureville ,AUREVILLE   ,31320,31025,72,43.483333,1.45,1.52
 Auriac-sur-Vendinelle ,AURIAC SUR VENDINELLE ,31460,31026,72,43.516667,1.816667,2
 Auribail ,AURIBAIL   ,31190,31027,72,43.35,1.383333,1.22
 Aurignac ,AURIGNAC   ,31420,31028,72,43.216667,0.883333,0.73
 Aurin ,AURIN   ,31570,31029,72,43.533333,1.666667,1.56
 Ausseing ,AUSSEING   ,31260,31030,72,43.15,1.016667,1.73
 Ausson ,AUSSON   ,31210,31031,72,43.083333,0.6,1.56
 Aussonne ,AUSSONNE   ,31840,31032,72,43.683333,1.316667,1.6
 Auterive ,AUTERIVE   ,31190,31033,72,43.35,1.483333,1.02
 Auzas ,AUZAS   ,31360,31034,72,43.166667,0.883333,0.73
 Auzeville-Tolosane ,AUZEVILLE TOLOSANE  ,31320,31035,72,43.533333,1.483333,1.23
 Auzielle ,AUZIELLE   ,31650,31036,72,43.55,1.566667,1.27
 Azas ,AZAS   ,31380,31038,72,43.716667,1.666667,1.75
 Bachas ,BACHAS   ,31420,31039,72,43.25,0.933333,0.8
 Bachos ,BACHOS   ,31440,31040,72,42.883333,0.616667,2
 Bagiry ,BAGIRY   ,31510,31041,72,42.983333,0.633333,1.55
 Bagnères-de-Luchon ,BAGNERES DE LUCHON ,31110,31042,72,42.783333,0.6,2.45
 Balesta ,BALESTA   ,31580,31043,72,43.2,0.566667,1.66
 Balma ,BALMA   ,31130,31044,72,43.616667,1.5,1.3
 Barbazan ,BARBAZAN   ,31510,31045,72,43.033333,0.633333,1.46
 Baren ,BAREN   ,31440,31046,72,42.866667,0.616667,2.07
 Bax ,BAX   ,31310,31047,72,43.233333,1.266667,0.47
 Baziège ,BAZIEGE   ,31450,31048,72,43.45,1.616667,1.41
 Bazus ,BAZUS   ,31380,31049,72,43.733333,1.516667,1.82
 Beauchalot ,BEAUCHALOT   ,31360,31050,72,43.1,0.866667,1.52
 Beaufort ,BEAUFORT   ,31370,31051,72,43.466667,1.116667,1.19
 Beaumont-sur-Lèze ,BEAUMONT SUR LEZE ,31870,31052,72,43.383333,1.366667,1
 Beaupuy ,BEAUPUY   ,31850,31053,72,43.65,1,1.5
 Beauteville ,BEAUTEVILLE   ,31290,31054,72,43.35,1.733333,1.75
 Beauville ,BEAUVILLE   ,31460,31055,72,43.466667,1.766667,1.85
 Beauzelle ,BEAUZELLE   ,31700,31056,72,43.666667,1.366667,1.52
 Belberaud ,BELBERAUD   ,31450,31057,72,43.5,1.583333,1.32
 Belbèze-de-Lauragais ,BELBEZE DE LAURAGAIS ,31450,31058,72,43.433333,1.55,1.22
 Belbèze-en-Comminges ,BELBEZE EN COMMINGES ,31260,31059,72,43.133333,1.016667,1.48
 Bélesta-en-Lauragais ,BELESTA EN LAURAGAIS ,31540,31060,72,43.433333,1.816667,2
 Bellesserre ,BELLESSERRE   ,31480,31062,72,43.783333,1.116667,2.05
 Benque ,BENQUE   ,31420,31063,72,43.266667,0.916667,0.75
 Bérat ,BERAT   ,31370,31065,72,43.383333,1.183333,1.8
 Bessières ,BESSIERES   ,31660,31066,72,43.8,1.616667,2.12
 Bézins-Garraux ,BEZINS GARRAUX  ,31440,31067,72,42.933333,0.7,1.77
 Billière ,BILLIERE   ,31110,31068,72,42.816667,0.533333,2.3
 Blagnac ,BLAGNAC   ,31700,31069,72,43.633333,1.4,1.51
 Blajan ,BLAJAN   ,31350,31070,72,43.266667,0.65,1.41
 Bois-de-la-Pierre ,BOIS DE LA PIERRE,31390,31071,72,43.35,1.15,1.73
 Boissède ,BOISSEDE   ,31230,31072,72,43.4,0.816667,0.97
 Bondigoux ,BONDIGOUX   ,31340,31073,72,43.833333,1.55,2.27
 Bonrepos-Riquet ,BONREPOS RIQUET  ,31590,31074,72,43.683333,1.616667,1.6
 Bonrepos-sur-Aussonnelle ,BONREPOS SUR AUSSONNELLE ,31470,31075,72,43.55,1.15,1
 Bordes-de-Rivière ,BORDES DE RIVIERE ,31210,31076,72,43.1,0.633333,1.46
 Le Born ,LE BORN  ,31340,31077,72,43.883333,1.55,2.5
 Boudrac ,BOUDRAC   ,31580,31078,72,43.2,0.55,1.7
Bouloc,   ,31620,31079,72,43.783333,1.416667,2.05
 Bourg-d'Oueil ,BOURG D OUEIL ,31110,31081,72,42.866667,0.5,2.07
 Bourg-Saint-Bernard ,BOURG SAINT BERNARD ,31570,31082,72,43.6,1.733333,2.09
 Boussan ,BOUSSAN   ,31420,31083,72,43.233333,0.9,0.68
 Boussens ,BOUSSENS   ,31360,31084,72,43.183333,0.966667,1.57
 Boutx ,BOUTX   ,31440,31085,72,42.916667,0.716667,1.85
 Bouzin ,BOUZIN   ,31420,31086,72,43.183333,0.883333,0.94
 Bragayrac ,BRAGAYRAC   ,31470,31087,72,43.483333,1.066667,1.71
 Brax ,BRAX   ,31490,31088,72,43.616667,1.25,1.3
 Bretx ,BRETX   ,31530,31089,72,43.7,1.216667,1.67
 Brignemont ,BRIGNEMONT   ,31480,31090,72,43.783333,0.983333,2.08
 Bruguières ,BRUGUIERES   ,31150,31091,72,43.733333,1.416667,1.82
 Burgalays ,BURGALAYS   ,31440,31092,72,42.883333,0.633333,2
 Buzet-sur-Tarn ,BUZET SUR TARN ,31660,31094,72,43.783333,1.65,2.05
 Cabanac-Cazaux ,CABANAC CAZAUX  ,31160,31095,72,43.033333,0.75,1.32
 Cabanac-Séguenville ,CABANAC SEGUENVILLE  ,31480,31096,72,43.8,1.033333,2.12
 Le Cabanial ,LE CABANIAL  ,31460,31097,72,43.516667,1.866667,2.14
 Cadours ,CADOURS   ,31480,31098,72,43.733333,1.05,1.82
 Caignac ,CAIGNAC   ,31560,31099,72,43.316667,1.7,1.66
 Calmont ,CALMONT   ,31560,31100,72,43.283333,1.633333,-1
 Cambernard ,CAMBERNARD   ,31470,31101,72,43.483333,1.2,1.12
 Cambiac ,CAMBIAC   ,31460,31102,72,43.483333,1.783333,1.9
 Canens ,CANENS   ,31310,31103,72,43.216667,1.333333,1.27
 Capens ,CAPENS   ,31410,31104,72,43.333333,1.25,0.95
 Caragoudes ,CARAGOUDES   ,31460,31105,72,43.5,1.7,1.66
 Caraman ,CARAMAN   ,31460,31106,72,43.533333,1.766667,1.85
 Carbonne ,CARBONNE   ,31390,31107,72,43.3,1.233333,0.45
 Cardeilhac ,CARDEILHAC   ,31350,31108,72,43.2,0.683333,1.31
 Cassagnabère-Tournas ,CASSAGNABERE TOURNAS  ,31420,31109,72,43.233333,0.8,1.73
 Cassagne ,CASSAGNE   ,31260,31110,72,43.116667,0.983333,0.95
 Castagnac ,CASTAGNAC   ,31310,31111,72,43.233333,1.35,1.54
 Castagnède ,CASTAGNEDE   ,31260,31112,72,43.05,0.966667,1.25
 Castanet-Tolosan ,CASTANET TOLOSAN  ,31320,31113,72,43.516667,1.5,1.23
 Castelbiague ,CASTELBIAGUE   ,31160,31114,72,43.033333,0.916667,1.45
 Castelgaillard ,CASTELGAILLARD   ,31230,31115,72,43.35,0.9,0.72
 Castelginest ,CASTELGINEST   ,31780,31116,72,43.7,1.433333,1.67
 Castelnau-d'Estrétefonds ,CASTELNAU D ESTRETEFONDS ,31620,31118,72,43.783333,1.366667,2.05
 Castelnau-Picampeau ,CASTELNAU PICAMPEAU  ,31430,31119,72,43.3,1.016667,0.34
 Le Castéra ,LE CASTERA  ,31530,31120,72,43.683333,1.15,1.6
 Castéra-Vignoles ,CASTERA VIGNOLES  ,31350,31121,72,43.283333,0.783333,1.64
 Casties-Labrande ,CASTIES LABRANDE  ,31430,31122,72,43.333333,1,0.62
 Castillon-de-Larboust ,CASTILLON DE LARBOUST ,31110,31123,72,42.8,0.533333,2.37
 Castillon-de-Saint-Martory ,CASTILLON DE SAINT MARTORY,31360,31124,72,43.133333,0.866667,1.05
 Cathervielle ,CATHERVIELLE   ,31110,31125,72,42.816667,0.516667,2.3
 Caubiac ,CAUBIAC   ,31480,31126,72,43.716667,1.083333,1.75
 Caujac ,CAUJAC   ,31190,31128,72,43.3,1.466667,0.97
 Cazaril-Laspènes ,CAZARIL LASPENES  ,31110,31129,72,42.8,0.583333,2.37
 Cazaril-Tambourès ,CAZARIL TAMBOURES  ,31580,31130,72,43.183333,0.533333,1.75
 Cazaunous ,CAZAUNOUS   ,31160,31131,72,42.983333,0.733333,1.55
 Cazaux-Layrisse ,CAZAUX LAYRISSE  ,31440,31132,72,42.866667,0.6,2.07
 Cazeaux-de-Larboust ,CAZEAUX DE LARBOUST ,31110,31133,72,42.8,0.533333,2.37
 Cazeneuve-Montaut ,CAZENEUVE MONTAUT  ,31420,31134,72,43.183333,0.866667,1.05
 Cazères ,CAZERES   ,31220,31135,72,43.216667,1.083333,0.5
 Cépet ,CEPET   ,31620,31136,72,43.75,1.433333,1.9
 Cessales ,CESSALES   ,31290,31137,72,43.45,1.733333,1.75
 Charlas ,CHARLAS   ,31350,31138,72,43.233333,0.7,1.27
 Chaum ,CHAUM   ,31440,31139,72,42.933333,0.65,1.77
 Chein-Dessus ,CHEIN DESSUS  ,31160,31140,72,43.016667,0.883333,1.4
 Ciadoux ,CIADOUX   ,31350,31141,72,43.266667,0.733333,1.17
 Cier-de-Luchon ,CIER DE LUCHON ,31110,31142,72,42.85,0.6,2.15
 Cier-de-Rivière ,CIER DE RIVIERE ,31510,31143,72,43.066667,0.633333,1.46
 Cintegabelle ,CINTEGABELLE   ,31550,31145,72,43.316667,1.533333,1.17
 Cirès ,CIRES   ,31110,31146,72,42.85,0.516667,2.15
 Clermont-le-Fort ,CLERMONT LE FORT ,31810,31148,72,43.45,1.433333,1
 Colomiers ,COLOMIERS   ,31770,31149,72,43.616667,1.35,1.3
 Cornebarrieu ,CORNEBARRIEU   ,31700,31150,72,43.65,1.333333,1.45
 Corronsac ,CORRONSAC   ,31450,31151,72,43.466667,1.5,1.17
 Coueilles ,COUEILLES   ,31230,31152,72,43.35,0.883333,0.73
 Couladère ,COULADERE   ,31220,31153,72,43.2,1.1,0.64
 Couledoux ,COULEDOUX   ,31160,31154,72,42.916667,0.8,1.85
 Couret ,COURET   ,31160,31155,72,43.05,0.816667,1.25
 Cox ,COX   ,31480,31156,72,43.766667,1.05,1.97
 Cugnaux ,CUGNAUX   ,31270,31157,72,43.533333,1.366667,1.48
 Cuguron ,CUGURON   ,31210,31158,72,43.1,0.55,1.7
 Le Cuing ,LE CUING  ,31210,31159,72,43.15,0.6,1.56
 Daux ,DAUX   ,31700,31160,72,43.7,1.25,1.67
 Deyme ,DEYME   ,31450,31161,72,43.483333,1.533333,1.17
 Donneville ,DONNEVILLE   ,31450,31162,72,43.466667,1.55,1.22
 Drémil-Lafage ,DREMIL LAFAGE  ,31280,31163,72,43.6,1.6,1.36
 Drudas ,DRUDAS   ,31480,31164,72,43.75,1.116667,1.9
 Eaunes ,EAUNES   ,31600,31165,72,43.416667,1.35,1.4
 Empeaux ,EMPEAUX   ,31470,31166,72,43.533333,1.083333,1.28
 Encausse-les-Thermes ,ENCAUSSE LES THERMES ,31160,31167,72,43.05,0.75,1.25
 Éoux ,EOUX   ,31420,31168,72,43.266667,0.9,0.68
 Escalquens ,ESCALQUENS   ,31750,31169,72,43.516667,1.566667,1.27
 Escanecrabe ,ESCANECRABE   ,31350,31170,72,43.283333,0.75,1.14
 Espanès ,ESPANES   ,31450,31171,72,43.45,1.483333,1.48
 Esparron ,ESPARRON   ,31420,31172,72,43.266667,0.816667,1.55
 Esperce ,ESPERCE   ,31190,31173,72,43.3,1.4,1.28
 Estadens ,ESTADENS   ,31160,31174,72,43.033333,0.85,1.32
 Estancarbon ,ESTANCARBON   ,31800,31175,72,43.1,0.783333,1.02
 Esténos ,ESTENOS   ,31440,31176,72,42.95,0.633333,1.7
 Eup ,EUP   ,31440,31177,72,42.933333,0.683333,1.77
 Le Faget ,LE FAGET  ,31460,31179,72,43.566667,1.833333,2.05
 Falga ,FALGA   ,31540,31180,72,43.483333,1.866667,2.14
 Le Fauga ,LE FAUGA  ,31410,31181,72,43.4,1.283333,1.13
 Fenouillet ,FENOUILLET   ,31150,31182,72,43.683333,1.4,1.6
 Figarol ,FIGAROL   ,31260,31183,72,43.083333,0.9,1.23
 Flourens ,FLOURENS   ,31130,31184,72,43.6,1.566667,1.28
 Folcarde ,FOLCARDE   ,31290,31185,72,43.4,1.8,1.95
 Fonbeauzard ,FONBEAUZARD   ,31140,31186,72,43.683333,1.45,1.6
 Fonsorbes ,FONSORBES   ,31470,31187,72,43.533333,1.233333,1.52
 Fontenilles ,FONTENILLES   ,31470,31188,72,43.55,1.2,1.05
 Forgues ,FORGUES   ,31370,31189,72,43.433333,1.05,0.7
 Fos ,FOS   ,31440,31190,72,42.866667,0.733333,2.07
 Fougaron ,FOUGARON   ,31160,31191,72,42.983333,0.933333,1.66
 Fourquevaux ,FOURQUEVAUX   ,31450,31192,72,43.5,1.616667,1.41
 Le Fousseret ,LE FOUSSERET  ,31430,31193,72,43.283333,1.066667,0.8
 Francarville ,FRANCARVILLE   ,31460,31194,72,43.6,1.75,1.8
 Francazal ,FRANCAZAL   ,31260,31195,72,43.016667,1.033333,1.89
 Francon ,FRANCON   ,31420,31196,72,43.266667,0.966667,1.49
 Franquevielle ,FRANQUEVIELLE   ,31210,31197,72,43.133333,0.533333,2.04
 Le Fréchet ,LE FRECHET  ,31360,31198,72,43.183333,0.933333,0.97
 Fronsac ,FRONSAC   ,31440,31199,72,42.95,0.65,1.7
